ticker;data_com;data_pagamento;valor_por_cota
HGLG11;30/12/2014;15/01/2014;3.64
HGLG11;31/10/2014;14/11/2014;0.87
HGLG11;28/11/2014;12/12/2014;0.87
HGLG11;30/01/2015;13/02/2015;0.87
HGLG11;27/02/2015;13/03/2015;0.87
HGLG11;31/03/2015;15/04/2015;1.24
HGLG11;30/04/2015;15/05/2015;1.24
HGLG11;29/05/2015;15/06/2015;1.24
HGLG11;30/06/2015;14/07/2015;1.24
HGLG11;31/07/2015;14/08/2015;0.87
HGLG11;30/09/2015;15/09/2015;0.87
HGLG11;02/11/2015;16/11/2015;0.87
HGLG11;30/11/2015;14/12/2015;0.87
HGLG11;29/12/2015;15/01/2016;0.87
KNRI11;02/01/2016;15/01/2016;0.92
BTLG11;14/01/2016;23/01/2016;1.05
HGLG11;30/01/2016;14/02/2016;0.87
KNRI11;01/02/2016;14/02/2016;0.92
BTLG11;15/02/2016;24/02/2016;0.84
HGLG11;28/02/2016;15/03/2016;0.87
BTLG11;14/03/2016;24/03/2016;0.38
HGLG11;29/03/2016;15/04/2016;0.87
BTLG11;15/04/2016;25/04/2016;0.51
HGLG11;30/04/2016;14/05/2016;0.87
BTLG11;15/05/2016;24/05/2016;0.89
HGLG11;29/05/2016;15/06/2016;0.87
BTLG11;15/06/2016;24/06/2016;1.46118959
HGLG11;29/06/2016;14/07/2016;0.87
KNRI11;30/06/2016;14/07/2016;0.92
BTLG11;15/07/2016;25/07/2016;0.25337213
KNRI11;29/07/2016;12/08/2016;0.92
HGLG11;29/07/2016;15/08/2016;0.87
BTLG11;15/08/2016;25/08/2016;1.23729983
HGLG11;30/08/2016;15/09/2016;0.87
KNRI11;31/08/2016;15/09/2016;0.92
BTLG11;15/09/2016;23/09/2016;0.30109179
HGLG11;30/09/2016;14/10/2016;0.87
KNRI11;30/09/2016;17/10/2016;0.92
BTLG11;17/10/2016;25/10/2016;0.23687877
HGLG11;30/10/2016;15/11/2016;0.87
KNRI11;31/10/2016;16/11/2016;0.92
BTLG11;16/11/2016;25/11/2016;0.49635579
KNRI11;30/11/2016;14/12/2016;0.92
HGLG11;30/11/2016;15/12/2016;0.87
BTLG11;15/12/2016;23/12/2016;0.53908626
HGLG11;29/12/2016;13/01/2017;0.87
KNRI11;29/12/2016;13/01/2017;0.92
BTLG11;16/01/2017;24/01/2017;0.52754497
KNRI11;29/01/2017;13/02/2017;0.92
HGLG11;31/01/2017;14/02/2017;0.87
BTLG11;15/02/2017;24/02/2017;0.29654466
HGLG11;24/02/2017;14/03/2017;0.87
KNRI11;24/02/2017;14/03/2017;0.92
BTLG11;15/03/2017;24/03/2017;0.27494519
HGLG11;31/03/2017;17/04/2017;0.87
KNRI11;31/03/2017;17/04/2017;0.92
BTLG11;17/04/2017;25/04/2017;0.24447136
HGLG11;28/04/2017;15/05/2017;0.87
KNRI11;28/04/2017;15/05/2017;0.92
BTLG11;15/05/2017;25/05/2017;0.27198909
HGLG11;31/05/2017;14/06/2017;0.87
KNRI11;31/05/2017;14/06/2017;0.92
BTLG11;16/06/2017;23/06/2017;0.2422395
HGLG11;30/06/2017;14/07/2017;0.87
KNRI11;30/06/2017;14/07/2017;0.92
BTLG11;17/07/2017;25/07/2017;0.36089512
HGLG11;31/07/2017;14/08/2017;0.87
KNRI11;31/07/2017;14/08/2017;0.92
BTLG11;15/08/2017;25/08/2017;0.36423647
HGLG11;31/08/2017;15/09/2017;0.87
KNRI11;31/08/2017;15/09/2017;0.92
BTLG11;15/09/2017;25/09/2017;0.33743881
HGLG11;29/09/2017;16/10/2017;0.87
KNRI11;29/09/2017;16/10/2017;0.92
BTLG11;16/10/2017;25/10/2017;0.33525472
HGLG11;31/10/2017;16/11/2017;0.87
KNRI11;31/10/2017;16/11/2017;0.92
BTLG11;16/11/2017;24/11/2017;0.32036204
HGLG11;30/11/2017;14/12/2017;0.87
KNRI11;30/11/2017;14/12/2017;0.92
VISC11;30/11/2017;14/12/2017;0.61
XPML11;20/12/2017;15/12/2017;0.05
BTLG11;15/12/2017;22/12/2017;0.35254993
HGLG11;28/12/2017;15/01/2018;0.87
KNRI11;27/12/2017;15/01/2018;0.92
VISC11;28/12/2017;15/01/2018;0.61
XPML11;20/01/2018;15/01/2018;0.51
BTLG11;15/01/2018;24/01/2018;0.33724607
HGLG11;31/01/2018;16/02/2018;0.87
KNRI11;31/01/2018;16/02/2018;0.62
PMLL11;31/01/2018;16/02/2018;0.48
VISC11;31/01/2018;16/02/2018;0.61
BTLG11;15/02/2018;23/02/2018;0.33567909
XPML11;28/02/2018;23/02/2018;0.5
XPML11;16/02/2018;23/02/2018;0.51
HGLG11;28/02/2018;14/03/2018;0.87
KNRI11;28/02/2018;14/03/2018;0.82
PMLL11;28/02/2018;14/03/2018;0.5
VISC11;28/02/2018;14/03/2018;0.61
BTLG11;15/03/2018;23/03/2018;0.33492124
XPML11;16/03/2018;23/03/2018;0.49
HGLG11;29/03/2018;13/04/2018;0.87
KNRI11;29/03/2018;13/04/2018;0.9
KNRI11;29/03/2018;13/04/2018;0.82
PMLL11;29/03/2018;13/04/2018;0.67
VISC11;29/03/2018;13/04/2018;0.61
BTLG11;16/04/2018;25/04/2018;0.33762354
XPML11;18/04/2018;25/04/2018;0.5
HGLG11;30/04/2018;15/05/2018;0.87
KNRI11;30/04/2018;15/05/2018;0.82
PMLL11;30/04/2018;15/05/2018;0.61
VISC11;30/04/2018;15/05/2018;0.61
BTLG11;15/05/2018;25/05/2018;0.35068827
XPML11;18/05/2018;25/05/2018;0.52
HGLG11;30/05/2018;14/06/2018;0.87
KNRI11;30/05/2018;14/06/2018;0.82
PMLL11;30/05/2018;14/06/2018;0.62
VISC11;30/05/2018;14/06/2018;0.61
BTLG11;15/06/2018;25/06/2018;0.34887791
XPML11;18/06/2018;25/06/2018;0.49
HGLG11;29/06/2018;13/07/2018;0.75
